SongID,SongTitle,KeyName,Arranger,AsSungBy,LT_Provider,SongStyle,SongLength,Difficulty,Genre,Tempo,StartingWords
46,Down Where The South Begins,C,Buz Busby,PLATINUM,Tim Waurick,Medium,02:26,,,Medium,"Be it ever so humble, there's no place like …"
47,Down Where the Swanee River Flows,D,Clay Hine,Keepsake,Sean Milligan,Uptune,,,,Uptune,My mem'ries often stray way back to childhood …
519,Dream a Little Dream of Me,B,Kohl Kitzmiller,--,--,,,,,,Doo doo doo … Stars shinin' bright above you …
48,Dream Dear Rock,Bb,,--,--,Medium,,,,Medium,
49,Drivin' Me Crazy,Ab,Bob Disney,OC Times,Tim Waurick,Uptune,01:48,2,Barbershop Classics,Uptune,"With the beat, beat, beat of a heartbeat …"
50,Each Time I Fall In Love,Ab,S. K. Grundy,Sundowners,Tim Brooks,Ballad,,2,Disney,Ballad,They say that all who love are blind …
51,Ebb Tide,C,Freddie King,Oriole Four,Tim Waurick,Ballad,02:50,1,Popular,Ballad,"First, the tide rushes in, plants a kiss on …"
54,Ev'ry Day of My Life,C,Bob Mattes,AHB,Ryan Griffith,Medium,03:53,,,Medium,"Till lovers never kiss, and there’s no …"
322,Every Little Thing She Does is Magic,Eb,Adam Scott,--,Sonny Vande Putte,,,3,,,"ee oh … ah … Oh, I tried before to tell her …"
52,Everybody Loves A Lover,C,Drayton Justice,Gentlemen's Agreement,DJ Hiner,Uptune,,3,Barbershop Classics,Uptune,Bum buh buh … Ev'ry body loves a lover …
528,Everybody Loves Somebody,Ab,Kohl Kitzmiller,--,Kohl Kitzmiller,,02:59,,,,Ev'rybody loves somebody some-time …
53,Everybody Wants To Go To Heaven,Bb,Lou Perry,--,--,Medium,,1,,Medium,There was a little white church in the valley ...
488,Everyone's Wrong But Me,Eb,Kevin Keller,Masterpiece,Tim Waurick,,02:56,,,,When people gossip then I turn away …
389,Everything's Coming Up Roses,Eb,Gary Lewis,Masterpiece,Tim Waurick,Uptune,02:04,5,,Uptune,Things look swell; things look great.
484,Feel It Still,A,Kohl Kitzmiller,Canadian Cold Snaps,Kohl Kitzmiller,,03:24,,Popular,,Doot doot woah oh I'm a rebel just for kicks now …
56,Fit As A Fiddle,Eb,Clay Hine,FRED,Tim Brooks,Uptune,02:51,,,Uptune,Ba bum … I'm feeling okay …
477,Fit as a Fiddle,Eb,Clay Hine,FRED,Shawn Thomas,Uptune,02:20,,,Uptune,Buh bum ba bum I'm feelin' okay …
527,Fit As a Fiddle,E,Clay Hine,FRED,Kohl Kitzmiller,,02:41,,,,Ba bum … I'm feeling okay …
58,Fly Me To The Moon,Bb,Roger Payne,BSQ,Tim Brooks,Uptune,02:39,,,Uptune,"Come fly with me, let's fly, let's …"
483,Fly Me to the Moon,Eb,Kohl Kitzmiller,Kim Newcomb,Kohl Kitzmiller,,02:56,,,,Fly me to the moon and let me play among …
204,For All We Know,G,Lou Perry,--,Tim Waurick,Ballad,03:06,,,Ballad,"Sweetheart, the night is growing old ..."
287,"For Sale, One Broken Heart",C,Val Hicks,Power Play,Tim Waurick,Ballad,03:48,,,Ballad,Our summer plans were set …
337,For Sentimental Reasons,F,Clay Hine,Keepsake,Kohl Kitzmiller,Medium,01:32,,,Medium,I love you
60,Forgive Me,F,Earl Moon,Boston Common,Shawn Thomas,Ballad,03:25,2,Standard,Ballad,"Forgive me, please forgive me, I didn't mean to …"
530,Fortune in Dreams,Eb,Clay Hine,Brouhaha,Kohl Kitzmiller,,03:16,,,,"I gotta tell you … Oh, I don't need diamonds …"
353,Friends,A,David Wright,Ambassadors of Harmony,Tim Waurick,Ballad,03:16,,,Ballad,"Friends, just friends, always friends …"
61,Frog Kissin',A,Dan Wilson/Fraser Brown,Most Happy Fellows,Tim Waurick,Medium,02:07,,,Medium,Do you remember in the fairy tale how the …
62,From the First Hello To The Last Goodbye,F,Lou Perry,Boston Common,Tim Waurick,Ballad,02:48,4,Barbershop Classics,Ballad,"Our song was a song of tomorrow, our hearts …"
491,Fun and Fancy Free,C,Dan Wessler,After Hours,Drew Wheaton,,02:54,,Disney,,"da ba da ba dat da dat da … Fun, fun, fun and …"
323,"Fun, Fun, Fun",A,Aaron Dale,OC Times,Sonny Vande Putte,Uptune,02:28,,,Uptune,Let me tell you now I love you baby ...
63,"Gee, I'm Glad It's Rainin'",B,Jeremy Johnson,IHB,Simon Rylander,Ballad,,,,Ballad,"Doo doo doo doo, Doo doo doo doo, …"
64,Georgia Camp Meeting,Bb,Larry Wright,Suntones,Larry Wright,Uptune,,,,Uptune,Have you heard ...
